,0
incyclinide,-0.014984789315045302
minocycline,0.0034399914841320898
demeclocycline,-0.03942299013497947
COTI-2,-0.04339386148337455
tigecycline,0.012050367538182604
methacycline,-0.04431606696050429
tetracycline,0.006922205775747964
chlortetracycline,-0.015257563635475296
cinobufotalin,0.042966908861899925
fucoxanthin,-0.10150091447986163
mivebresib,-0.149018318536041
BAY1125976,0.01167987183300382
rogaratinib,0.03820772854436876
BAY-1436032,-0.028394916430508062
CPI-1205,-0.006414355711109108
tomivosertib,0.005455237724733477
mitoquinone,-0.2471770929017004
delpazolid,0.04330143623374178
GSK2239633A,-0.017261527069635945
AQ-13,-0.02627169506467495
linaprazan,-0.004630510278207577
uki-1,-0.047887251385677926
BFH772,-0.056457549254056424
eltanexor,-0.035916111093155886
cadazolid,-0.08279194866803354
paquinimod,-0.03838641749637445
CGP-25454A,-0.013059023895879573
GSK3179106,-0.021212585401044495
esaxerenone,-0.021840708047215846
visomitin,-0.20292218838349851
TAK-243,0.009475065850861577
fisogatinib,0.0011433277496701864
FT011,-0.015524865146760424
GSK2256098,0.032560397204116784
GLPG0187,0.021966664441960874
MSDC-0160,-0.07764339239460914
nicainoprol,-0.021695300591500575
urolithin-A,-0.04114413510476742
fosfluconazole,0.025364311664153122
IPI549,-0.05277268177478531
HT-2157,-0.018757396070276513
lanabecestat,-0.09691079172034997
CXD101,-0.15759942988566697
HTHQ,0.014197785502428041
YL0919,-0.06573572414038441
PBI-4050,-0.021321341404477265
futibatinib,0.006304233504377362
BGP-15,-0.06177738040274745
ABX464,-0.014547742511273212
bisantrene,-0.019393850598645047
CEP-40783,-0.09231151768374836
MK-8617,-0.00506365767446516
AZD7986,-0.008055935782713058
ocaperidone,-0.06347740659846127
PF-06840003,0.006222253700806227
THK5351,-0.019056045712922312
T-807,-0.07016330475296734
JNJ-39758979,0.018872337129083188
CYC065,0.02176337345002652
evobrutinib,0.01353167682654103
milademetan,-0.12665264093050813
vadadustat,-0.04076147345405483
iberdomide,-0.022346292182840774
CFI-402257,-0.15711996458959274
GAL-021,-0.06923748073361569
bamaquimast,0.011092745729842477
trilaciclib,-0.11891353332329886
zanubrutinib,0.06574584208351668
emodepside,0.03347625979083045
iclaprim,-0.10655584299730782
LY3214996,-0.05397955804465346
MRX-2843,-0.10058841087018966
BMS-986205,0.0148796666501205
avapritinib,0.0034697447183812714
GDC-0077,0.026934415736588863
GSK3326595,-0.06433582983376253
BAY-1895344,-0.026164945701054675
BMS-986158,-0.15602183172250356
roblitinib,-0.03656971107451348
LXS196,-0.024293604959567148
peposertib,0.010211057669886768
ilaprazole,-0.06522732281586188
pagoclone,-0.03416921460764553
GSK2982772,-0.049869979137013014
PRN1371,-0.0019148848558204917
ziritaxestat,0.08722699037859763
EDO-S101,-0.10793994815700356
veralipride,0.040228058069941404
miridesap,0.03248913824838031
AVex-73,-0.0039217939339653415
AVN-492,0.0455655078379558
BTK-IN-1,-0.016172616050218403
CM-4620,0.0233247405542798
XL041,0.022570913899682618
selitrectinib,-0.014588278729299953
CPI-444,-0.03289230993005367
AZD4635,-0.07029610851064066
BT-11,0.02077209121805393
vaniprevir,-0.03604036954657116
LY3200882,0.05616415914375577
repotrectinib,0.04650643972325834
zuranolone,-0.04334685189659118
E7046,-0.02881077402039403
AAI101,-0.08572168155850977
LY334370,-0.03219094037254442
desidustat,-0.0476358931022092
CT7001,0.046953792748499625
seclidemstat,-0.18012762752990213
S-38093,-0.07212664604561116
asciminib,-0.04745240756387785
IDH-305,-0.07289003979136617
cintirorgon,-0.005656209278060167
dilmapimod,-0.013489409342237538
vorasidenib,-0.0081411695566153
pamiparib,-0.09221940806635479
lanifibranor,-0.09151790961785022
pyrotinib,0.06858440830352502
