,0
oglufanide,0.1270495045541293
sardomozide,-0.02904263050796738
GSK189254,0.06539912006890987
macitentan-n-butyl-analogue,0.06372038793638649
BMS-582949,0.05125311315722812
RAD140,0.09243838518501768
pavinetant,0.10110240974650876
DWK-1339,0.05476241121712495
E7820,-0.14301058035338773
SJG-136,-0.0314666965864032
soblidotin,-0.21789147669785378
rolapitant,0.010345739553491858
karenitecin,0.019033771952381668
indeglitazar,0.006885457635758327
lasmiditan,0.041687059237517546
verucerfont,0.03748557317657976
cenicriviroc,0.011938243039613512
gemigliptin,0.06254616677378237
succinobucol,0.009876327755052277
ozenoxacin,0.03448981702570826
EMD534085,-0.13066920086762712
SSR240612,-0.014110561833046088
guadecitabine,-0.12052607174884757
capromorelin,0.08210391386299484
BMS-911543,0.16135291141392116
MK-0557,0.04860980795549633
fostemsavir,0.11353252336396925
PSI-697,0.04210043735399294
MK-7622,0.042760944675865276
LY2795050,0.006255879922968623
ONO-4059,0.060560934808458255
revefenacin,0.05695378220705751
MK-7246,0.08052656745510431
tenapanor,0.10548126921922178
citarinostat,0.11055697854538954
BMS-214662,0.13613481027555635
celgosivir,0.04179461764000597
D-3263,-0.10589014091518134
emiglitate,0.09867058651189155
ethynylcytidine,-0.07355182140031423
imirestat,0.08884966347182562
JI-101,0.09637583843910551
osilodrostat,0.06156851784584828
lurbinectedin,0.07605885872031892
omtriptolide,-0.057775152410784084
PCI-27483,0.094900293387431
sapacitabine,-0.13146114545454488
squalamine,0.05599247398816935
relugolix,0.12610438691485878
transcrocetinate,0.0780694415796247
upamostat,-0.043914289709694174
acumapimod,0.11819730203046956
basmisanil,0.060811212973257124
tradipitant,-0.22033406520588691
amiselimod,0.04836703647963634
avoralstat,0.10493696963282026
eleclazine,0.0446943800579056
emeramide,0.09531739520376079
ralinepag,0.08354263869444582
seletalisib,0.03759630624455641
verubecestat,0.07871902227831781
asapiprant,0.07787975122694651
doravirine,0.0589253817299012
fevipiprant,0.02953327930243723
valbenazine,0.006744509832636293
vericiguat,0.07551369042634806
veledimex,0.005738365486621091
firsocostat,-0.16551116117521095
mavatrep,-0.19048403340598669
sitravatinib,0.04410644601422014
fluralaner,0.04121330594497446
eravacycline,-0.014211232371678127
sancycline,0.07938720318371914
pantoprazole,0.03204545926483182
amcasertib,0.0879594013499055
belizatinib,0.02458008972292296
bexagliflozin,0.09794656126384355
bictegravir,-0.006904759232064139
cenerimod,0.06670686882414806
cenobamate,0.05190767526167293
evocalcet,0.009055950644813805
pemafibrate,0.01810688812302966
sacubitrilat,0.06772144687281541
sparsentan,0.025249881356942398
tavilermide,0.06258649833249545
acebilustat,0.05264187794234251
avacopan,0.04597918045485429
cefiderocol,0.04874139905417382
edasalonexent,0.10158319737494309
edonerpic-maleate,0.07092122261595639
glecaprevir,0.08041200664440032
leniolisib,0.05140680200470017
nicodicosapent,0.06567638256811757
tenalisib,0.09785371814237256
zoliflodacin,0.024248885913082847
omapatrilat,0.08151135592503092
udenafil,0.10857271893827611
ombrabulin,-0.1735349243450043
LEQ506,0.0566837095393731
galidesivir,0.06343404020384966
JD-5037,-0.08382561113611436
dextrorotation-nimorazole-phosphate-ester,0.09021652485764808
cbl0137,0.03240174264729193
selonsertib,-0.05462150885332224
lifirafenib,-0.06265009496579937
CCT245737,-0.03890482416795494
vatinoxan,0.08164749883775298
TCV-309,0.09777476647494947
PF-06282999,0.04043695284911854
PIM-447,-0.13057274718032114
ferroquine,0.07552613285247112
esonarimod,0.08072275963021272
roluperidone,0.028499200578646113
seladelpar,-0.02775150578354054
nemiralisib,0.08535297097468388
upadacitinib,0.11550846207364597
fezolinetant,0.07377632053289562
glesatinib,0.005842954258352246
tecadenoson,0.10091939373966034
emixustat,0.050486180109077
BEBT-908,0.04634199255156556
GSK2981278,0.03794544524608809
mertansine,-0.18699282803088593
avitinib,0.06169635359409591
elacestrant,-0.06952907349093652
PF-06650833,0.059229948020203906
AZD5069,0.03094552633903478
setmelanotide,0.10696271424313793
F-16915,0.06892098724145028
LTX-315,0.05067975711244029
ASP-9521,0.03435274617847521
adomeglivant,0.03876384715665705
acoziborole,0.07225668857207819
MK-1064,0.08675397910710336
BMS-779788,0.05150369909482798
vaborbactam,0.05846740440404605
COH29,-0.11015211351610406
TD139,0.021017230411955287
GDC-0084,-0.017918619505261215
derazantinib,-0.004107719937674395
PF-06459988,0.026274856749330028
sultopride,0.05477913383783435
trabectedin,0.008245111668263347
furagin,0.11407753782430805
nelociguat,0.1082001791265959
eldecalcitol,-0.08368098942389707
pipofezine,0.0659669381029433
decloxizine,0.038890028992164975
felypressin,0.0764983984442231
ceruletide,0.07813662624538675
dalfopristin,0.0513503842832088
sugammadex,0.09697590724164991
topilutamide,0.05885814666284481
ginsenoside-RE,0.1520319144700932
hydroxysafflor-yellow-A,0.05217489332961038
madecassoside,0.04938582623697658
ingenol,-0.020627558379806864
afamelanotide,0.058220328843911436
NIM811,0.10121428713044267
argireline,0.031156821357197308
ornipressin,-0.0771729909096679
sincalide,0.07308576135854715
iRGD-peptide,0.048242860448793605
tuftsin,0.06383984427620504
ALX-40-4C,0.07993502284558385
triamcinolone-hexacetonide,0.048804362254875104
dixyrazine,0.04781794480991319
JPH203,0.046167110859017
ketohexokinase-inhibitor-1,0.022558004849146236
