,mito_dir,ER_dir,lyso_dir,pathway
CGP-082996,0.07473420603301083,-0.010204515272244355,-0.12125365205843293,Cell cycle
CGP-60474,0.19505369000189715,-0.09791766268260292,-0.24021096566116487,Cell cycle
CHIR-99021,0.11170807710478077,-0.08318351197185625,-0.18490277463386492,WNT signaling
CI-1033,0.19570578742592026,-0.03437526247001113,-0.16509115606066238,RTK signaling
CI-1040,0.09147502378712835,-0.06333562243426565,-0.3226006352117789,ERK MAPK signaling
CMK,0.10403187250996015,-0.01957806867767027,-0.09032896983494593,"Other, kinases"
CP-724714,-0.01770371151376456,0.05288151143466663,-0.04144578438201645,EGFR signaling
CP466722,0.027788566750914918,0.02015346842445599,-0.01714820469704434,Genome integrity
CP724714,0.0519587687325037,-0.029092204318162927,-0.12796085421411219,RTK signaling
CPI-169,0.042189539038045044,0.005885998204393318,-0.008774507346802614,Chromatin histone methylation
CPI-360,-0.013367879409075429,0.07871778281939641,0.08828106770189663,Chromatin histone methylation
CPI-613,0.1510274170956622,-0.07098922765088626,-0.18169115798145594,Other
CPI-637,-0.1050824309823432,0.12896302799726858,0.1736269632231002,Chromatin histone methylation
CUDC-101,-0.025112760811707817,0.099527659396845,0.14254337984360907,Other
CX-5461,-0.12061106241476954,0.1229074959790597,0.27126726327724626,Other
CZC24832,0.04074236659838065,-0.026070627255877474,0.15577504633694275,PI3K/MTOR signaling
Cabozantinib,0.09032604362959662,-0.028268593644638372,-0.0713021906113763,RTK signaling
Camptothecin,-0.08940772909915748,0.08912139155703981,0.23465403622091474,DNA replication
Capivasertib,-0.00518922010414767,-0.10542323885587036,-0.10945740804480455,PI3K/MTOR signaling
Capmatinib,-0.06862233990353322,0.02028993403245916,0.07209152442789737,RTK signaling
Carboplatin,0.026983347021339168,0.0070963128214756805,-0.010069628955223986,DNA replication
Cediranib,0.013362854975476634,-0.03892023261037325,-0.08318505789009377,RTK signaling
Ceritinib,-0.01306618695307019,-0.004512481679043384,0.026428642867134092,RTK signaling
Cetuximab,0.266936007061994,-0.12477783202361209,-0.31997575535259337,EGFR signaling
Cisplatin,0.04943530831784766,-0.0966185487250595,-0.04297380198735099,DNA replication
Crizotinib,-0.12157219225939996,0.07120566628436298,0.19440294763542662,RTK signaling
Cyclopamine,0.12300580144792307,-0.047291949566582905,-0.10064575921552213,Other
Cyclophosphamide,-0.02290026855075682,0.0997665612066263,0.0504636960893365,DNA replication
Cymarine,0.012558005858684617,-0.12412174853960276,-0.17294597326616934,Other
Cytarabine,-0.11424861856479764,0.016143189929528286,0.1117205273862023,Other
DBeQ,0.09933788033128128,-0.09165185096138638,-0.16788956868898408,Other
DMOG,0.16917077419788104,-0.08618271464509121,-0.16710697999829058,Metabolism
Dabrafenib,-0.09754314510061601,-0.04569174430972435,-0.130057039189766,ERK MAPK signaling
Dabrafenib (1373) + Trametinib (1372),0.08544400671182649,-0.16017485259582478,-0.38208726164824197,Other
Dacinostat,0.05508803966142288,0.04259648490569323,0.01691670423359952,Chromatin histone acetylation
Dactinomycin,-0.16088612213118877,-0.0045891943950939935,0.09823721529969488,Other
Dactolisib,-0.05412885978907537,-0.13814343627074085,-0.19507552920637647,PI3K/MTOR signaling
Danusertib,-0.11585956665977298,0.14296513049498302,0.32870899378458174,Other
Daporinad,-0.15498349376457887,0.1341218184528279,0.33385639941246853,Metabolism
Daraprim,-0.11027704614183984,-0.01080382401716906,0.09712710955028779,Genome integrity
Dasatinib,0.22804533137098687,-0.03693758070388389,-0.13488955011603604,RTK signaling
Deltarasin,0.03208264982180449,-0.0270258626498256,-0.04052083961183775,ERK MAPK signaling
Dinaciclib,-0.13491854453224078,-0.07885572139303483,-0.16931518876207202,Cell cycle
Docetaxel,0.047456775939651266,-0.10963639297154283,-0.09210373818904467,Mitosis
Doramapimod,0.08339878009265637,-0.0957068575336938,-0.15018924348030022,JNK and p38 signaling
Doxorubicin,0.0812574967983527,-0.14104337387522514,-0.13986184638614327,DNA replication
Dyrk1b_0191,0.20779355967755933,-0.15238471224425748,-0.31357308340302237,"Other, kinases"
E7449,-0.021408657145178214,0.13065305092606588,0.17322154831639736,Other
EAI045,-0.05469950204063559,0.05731907862997685,0.0670488677853918,EGFR signaling
EGF816,-0.07600356786733556,0.14087782478207223,0.22231771029563208,EGFR signaling
EGFR_0300,0.07417770701680053,0.04791256578807106,0.06019979254559769,EGFR signaling
EGFR_5383,-0.27523748956429894,0.08092617488204505,0.23427699495139778,EGFR signaling
EGFR_7518,0.11117442306088793,-0.016021426154317946,-0.09409559920350369,EGFR signaling
EGFR_8897,0.05524334647671552,0.05303230247329454,0.0642627708136583,EGFR signaling
EHT-1864,0.02404833862654414,-0.09646368970463066,-0.12527320876466985,Cytoskeleton
EI1,0.06514689284090772,0.0361511792457009,-0.049336532129406044,Chromatin histone methylation
EPZ-6438,-0.02793501912853619,0.05181363298603367,0.11724824178086693,Chromatin histone methylation
EPZ004777,-0.06540705654872317,0.0713884627924721,0.07168772362891163,Chromatin histone methylation
EPZ011989,-0.07992299349982929,0.08292755964559777,0.0999074959593993,Chromatin histone methylation
EPZ015666,-0.00919383079451941,0.03862572351554678,0.08220710015193128,Chromatin histone methylation
EPZ020411,0.03149298851786618,0.07592917806421472,0.09599395731750526,Chromatin histone methylation
EPZ5676,-0.13088755689198978,0.07346995880405516,0.1328762711760636,Chromatin histone methylation
ERK_5051,-0.05433539914928315,-0.013846672198619854,-0.142155555132286,ERK MAPK signaling
ERK_5330,0.0982913408100949,-0.05751769343296386,-0.28263280900795684,ERK MAPK signaling
ERK_6197,-0.09397017465113965,0.014676667144605632,-0.09960333811334433,ERK MAPK signaling
ETP-45835,0.08978650818679573,-0.042960471383985295,-0.12412206704807931,"Other, kinases"
Elesclomol,0.047218566620386586,-0.1218089368240684,-0.1683786390345142,Protein stability and degradation
Embelin,0.11200803110564882,-0.12096588651004411,-0.19555157566570486,Apoptosis regulation
Entinostat,-0.047316477089504615,0.07815017399408047,0.11438499961144279,Chromatin histone acetylation
Entospletinib,0.01945176080382402,-0.15457028582577312,-0.11082821188176765,"Other, kinases"
Entrectinib,0.12707903019785635,-0.05853926700235883,-0.14828839635572316,RTK signaling
Enzastaurin,-0.021768976353907645,-0.0008823106582111253,0.008736192456645744,"Other, kinases"
EphB4_9721,0.24719526758107838,-0.06873516761360876,-0.22476387278323778,RTK signaling
Epirubicin,-0.16928967314981902,0.01945124649062277,0.17915162108700777,DNA replication
Epothilone B,0.0022300405357507545,-0.07708988640733729,-0.10412782203647267,Mitosis
Erlotinib,0.0704935492791944,0.060751582040627305,-0.015123333754005566,EGFR signaling
Etoposide,-0.02921004474629214,-0.013604764991755244,0.07367869809336136,DNA replication
Everolimus,-0.16443984794275496,-0.18015988372093025,-0.14613707513416818,PI3K/MTOR signaling
FEN1_3940,0.14725801224385357,-0.1411328725554335,-0.1684438804320421,Genome integrity
FGFR_0939,0.2578806916607719,-0.17081215448239304,-0.33568915499524954,RTK signaling
FGFR_3831,0.128432744040727,-0.059069136131140045,-0.034965985598261334,RTK signaling
FH535,0.029204987148607222,-0.1692144887305844,-0.31400936592626805,Other
FMK,0.1909747778241324,-0.046683462186111954,-0.16855168343522078,"Other, kinases"
FR-180204,0.14413020807544596,-0.0006020854145989337,-0.10921795349856735,ERK MAPK signaling
FTI-277,0.205594981173136,-0.12927800760897148,-0.2996985796708734,Other
FTY-720,0.23821761879840161,-0.0936270433650921,-0.28189534460800025,Other
Fedratinib,0.026760209034901842,0.08793000891012459,0.16921833859999158,"Other, kinases"
Fenretinide,-0.10288965225450296,0.11478749927752405,0.2874813635814159,Other
Filgotinib,-0.0929408124780702,0.14134130531886163,0.3187164139375785,"Other, kinases"
Flavopiridol,0.02458065393637667,0.014068625956340557,0.023539401004655656,Cell cycle
Foretinib,0.09090371335707408,0.06144485489354824,-0.017204265761649223,RTK signaling
Fulvestrant,0.09406907006094367,-0.05492036311053625,-0.10717029855714781,Hormone-related
G-5555,0.13219373535881143,-0.1299840322486497,-0.18831793162652125,"Other, kinases"
GDC-0879,-0.10449443337615072,-0.03477419598878347,-0.07894711870574526,ERK MAPK signaling
GDC0810,-0.014585998968721398,0.033046137984280535,0.058445878378748616,Hormone-related
GNE-317,-0.020418986468155178,-0.13081968724409757,-0.16888626830821934,PI3K/MTOR signaling
GNE7915,-0.1191167243682925,0.03690236629538135,0.162408672701283,"Other, kinases"
GNF-2,0.1449043344693515,-0.0666930350885614,-0.17386146978351652,ABL signaling
GNF-5,-0.11053666833174604,0.10960909710678486,0.18676348325385317,ABL signaling
GSK-LSD1-2HCl ,0.044317260813725855,0.14769510841781072,0.12908639758600482,Chromatin histone methylation
GSK1059615,0.13114576631787347,-0.11622233054059532,-0.24086728296508594,PI3K/MTOR signaling
GSK1070916,-0.06243364294213199,0.17035432931032124,0.2557294397198907,Mitosis
GSK126,-0.11162065271195994,0.019372212818444114,0.07687511521498086,Chromatin histone methylation
GSK1904529A,0.03820672387761338,-0.05827394383149964,-0.06510132059179166,RTK signaling
GSK2292767,-0.08820580137104544,-0.026086950982592293,0.0008664724185686794,PI3K/MTOR signaling
GSK2334470,-0.11583260169739538,-0.12535362403667938,-0.03563067017851917,"Other, kinases"
GSK2578215A,-0.04131384931892368,-0.0569459560657537,-0.027850600818625653,"Other, kinases"
GSK2606414,-0.10109745390693592,-0.045132182226124286,-0.07783630865281436,Metabolism
GSK269962A,0.022113176517676653,-0.06002923143042972,-0.0726122181590458,Cytoskeleton
GSK2830371,-0.1564935814420392,0.10509005465013219,0.1945199503161363,Other
GSK2830371A,-0.10371671056482297,0.20622866061847625,0.32543654277631456,Other
GSK319347A,0.07350837613401813,-0.07062064993039888,-0.14288139010224163,"Other, kinases"
GSK343,-0.004931226221832017,-0.05873573309920983,-0.003092381231099405,Chromatin histone methylation
GSK429286A,-0.014213502211664961,0.036126360029057364,0.07333550714279942,Cytoskeleton
GSK481,0.11091762005423896,-0.0548268024265278,-0.08966244980995625,"Other, kinases"
GSK484,-0.0017597411464157868,0.036009272994484226,0.07571899452252265,Other
GSK583,0.04429203302733899,-0.026955101060887526,-0.0014672863757905523,"Other, kinases"
GSK591,-0.0275701614630423,-0.033074954375853616,0.04286825075153214,Chromatin histone methylation
GSK650394,-0.045652724339061194,-0.0414646259553546,-0.005088340912770247,"Other, kinases"
GSK690693,0.011015490727577567,0.07008491411134168,0.12313974051346015,PI3K/MTOR signaling
GSK864,-0.044194375258188125,0.032509840641094793,0.07893357716087258,Metabolism
GW-2580,0.166054133914693,-0.0026333555402676245,-0.17585977708258663,RTK signaling
GW441756,0.05315568399083101,-0.11990190373610093,-0.21157654251269126,RTK signaling
GW843682X,-0.04756347554301405,0.14864634015172126,0.22912440763541345,Cell cycle
Gefitinib,0.16638133062697824,-0.05522326951529239,-0.16026773325676055,EGFR signaling
Gemcitabine,-0.10254745221800028,-0.0072416469967738935,0.05252952792748497,DNA replication
Genentech Cpd 10,-0.031086609206271393,0.025938610122289294,0.07189529748431013,Mitosis
Ginkgolide A,0.1944280215543843,-0.14784041435195663,-0.2593077728719164,Other
HG-5-113-01,0.07547702240694706,0.038686978006848026,0.015893744465988246,Other
HG-5-88-01,0.20065072453225843,-0.039558153806502995,-0.12406878102495539,"Other, kinases"
HG-9-91-01,-0.10721547798705727,0.019792431541536367,0.10772667500379784,"Other, kinases"
HG6-64-1,0.08890953236699452,-0.060888444689559,-0.1421955868041876,ERK MAPK signaling
I-BET-762,-0.14324720091587287,0.07243071963644208,0.19229312715633942,Chromatin other
I-BET151,-0.1551288602111158,0.08642832926991377,0.13887033495706874,Chromatin other
I-BRD9,-0.17055348472879503,0.07153760581342032,0.16511943770171125,Chromatin other
IAP_5620,0.24927361331394407,-0.17106664596726553,-0.29943684104322504,Other
IAP_7638,0.26175349850884033,-0.19183078575792906,-0.2803893317708336,Other
IC-87114,0.2224407842748422,-0.05448875466032173,-0.21745732816543475,PI3K/MTOR signaling
ICL1100013,-0.06112049740827624,-0.10969179764148801,-0.07439978679306594,Other
IGFR_3801,0.08701403754807982,-0.0653124495174272,-0.08496927293719415,IGF1R signaling
IMD-0354,0.05608441162068219,-0.1254393052882116,-0.17669888788115493,"Other, kinases"
IOX2,0.1275172305960814,-0.1416814132064639,-0.20130703925201474,Other
IPA-3,-0.015631174373689057,-0.027454948837455265,0.054323351130374585,Cytoskeleton
IRAK1-4-Inhibitor-I,-0.11209638084089357,-0.3861428153350893,-0.3005706760316067,"Other, kinases"
IRAK4_1495,-0.3134054950220578,0.16401976569949875,0.3422005535847456,"Other, kinases"
IRAK4_7891,-0.15130728321031184,0.1702381716049041,0.2262607140485684,"Other, kinases"
IRAK4_8366,-0.16222858987379135,0.141624412776323,0.24199152921688116,"Other, kinases"
IWP-2,0.05760413618183592,-0.0077797288069456644,0.08208955223880599,WNT signaling
Ibrutinib,-0.025069058055410123,0.11292719137373208,0.12435099670686736,"Other, kinases"
