,dir,dep,lineage
ACH-000546,0.8290500615497995,-0.46539844171436656,Head and Neck
ACH-001709,0.8653004138682592,-0.691230398465735,Lymphoid
ACH-002018,0.8678204716955668,-0.41611836462311097,Eye
ACH-000153,0.8508765432176265,-0.2749843063367762,Pleura
ACH-000116,0.8333274744369025,-0.4490864055088081,Ovary/Fallopian Tube
ACH-001270,0.8619376165632676,-0.3653407017712905,Soft Tissue
ACH-002523,0.8412360430101586,-0.36771631654934467,Liver
ACH-000324,0.8618980690123597,-0.35767617775603205,Ovary/Fallopian Tube
ACH-000898,0.8244873413311458,-0.5239953574242996,Esophagus/Stomach
ACH-000517,0.8519794804707289,-0.3536956988027767,Pancreas
ACH-001415,0.8214418660417736,-0.27053414480569404,Bladder/Urinary Tract
ACH-000681,0.8743458175953959,-0.5144224847296461,Lung
ACH-001310,0.8349658729745221,-0.581168103217122,Kidney
ACH-000070,0.8716217446245148,-0.5316248454065768,Lymphoid
ACH-000484,0.8630757071949549,-0.2040119265935009,Kidney
ACH-000108,0.8589461268195798,-0.23578499427661273,Pancreas
ACH-000656,0.8749945857519591,-0.5553582617016114,Lymphoid
ACH-000997,0.8819803781373606,-0.5890705628720271,Bowel
ACH-000866,0.859323711769916,-0.6129165915982615,Lung
ACH-000819,0.8599166111640856,-0.35155765895214514,CNS/Brain
ACH-000226,0.8551853430498945,-0.520120602336378,Lymphoid
ACH-000087,0.8635138689494603,-0.512220841093409,Bone
ACH-002005,0.8753257180234508,-0.4736603508840419,Skin
ACH-000758,0.8399695797727459,-0.5777952188730876,Esophagus/Stomach
ACH-000258,0.8425800320021293,-0.27744665488684983,Breast
ACH-000163,0.8531844252956179,-0.31664107410350806,Head and Neck
ACH-000076,0.8671864554032311,-0.5300819688747486,Myeloid
ACH-001193,0.8636711175447375,-0.39364438187137596,Bone
ACH-000571,0.8523972407108769,-0.2728281290965464,CNS/Brain
ACH-000391,0.8568472817963879,-0.533918282261954,Bone
ACH-000293,0.8792434365189619,-0.40231220230721615,Uterus
ACH-000532,0.8712896707446678,-0.410790135357495,Bowel
ACH-000584,0.8686349629226015,-0.45555711528067866,Ovary/Fallopian Tube
ACH-001690,0.855826578339618,-0.44418710639781916,Head and Neck
ACH-000944,0.8806119073281612,-0.5633112129062378,Lymphoid
ACH-000561,0.8461936109989899,-0.5384808572073002,Esophagus/Stomach
ACH-001648,0.8378142382482571,-0.7168374996614949,Prostate
ACH-000204,0.8675797338261503,-0.6371487636749646,Lymphoid
ACH-000160,0.9054135575281902,-0.611577634536625,CNS/Brain
ACH-001347,0.8356846340188036,-0.32601617745686473,Head and Neck
ACH-000268,0.867767113888786,-0.4509742496985674,Biliary Tract
ACH-001341,0.8540550991544984,-0.3922815418758434,Cervix
ACH-000714,0.8685731306406262,-0.3955997472479934,Lymphoid
ACH-000937,0.8226916941982488,-0.5469758385114755,Lymphoid
ACH-000763,0.8875239403924247,-0.424339425818994,Lymphoid
ACH-002834,0.8286034253200998,-0.28418717436970936,Bone
ACH-001673,0.8715165983582116,-0.5799340327584354,Biliary Tract
ACH-000326,0.8578447589137356,-0.5257257780124599,Myeloid
ACH-000901,0.8611827605320463,-0.3225841221289133,Lung
ACH-000511,0.8440803279810222,-0.29160439232099306,Lung
ACH-002077,0.852724606548949,-0.35693482126579396,Lung
ACH-000583,0.8963687815399564,-0.7145170968958668,Lymphoid
ACH-000836,0.861571958652094,-0.34560476003994794,Head and Neck
ACH-000975,0.8378826617887168,-0.44903533154254555,Lung
ACH-000467,0.8710294729692487,-0.5665210335996961,Bowel
ACH-000671,0.8644655211268666,-0.5749784098397551,Liver
ACH-000864,0.8707209392982758,-0.4956427062854366,Uterus
ACH-002067,0.8473392344975168,-0.42369044729668726,Bone
ACH-001461,0.8937978768614813,-0.31056306072650813,Bowel
ACH-000890,0.8578221603132167,-0.263949960031005,Lung
ACH-001692,0.8556354318435625,-0.5978047049607409,Head and Neck
ACH-000562,0.8695680968023608,-0.4145030229314698,Lung
ACH-000748,0.8419271835426949,-0.3592195155835387,Bone
ACH-001669,0.8857668992020811,-0.6018872501334741,Lymphoid
ACH-000834,0.8593519600205648,-0.529562440754881,Bladder/Urinary Tract
ACH-000565,0.8442171750619423,-0.40787913757531336,Bowel
ACH-002080,0.8587019363861951,-0.5801463331337506,Peripheral Nervous System
ACH-000770,0.8617894701820884,-0.5827960860960261,Myeloid
ACH-000507,0.8629002541714819,-0.5900863291703153,Esophagus/Stomach
ACH-000022,0.8607320439994753,-0.4351924352405234,Pancreas
ACH-001668,0.8709820786820495,-0.41016650029371565,Testis
ACH-000334,0.8731537414180246,-0.3688014018389673,Lymphoid
ACH-000374,0.8327157428756342,-0.5526259817776679,Breast
ACH-002003,0.8734117421072817,-0.41005977611451966,Skin
ACH-000148,0.829439259669847,-0.40269323833215337,Breast
ACH-002461,0.8491254655468644,-0.3935734139407828,Skin
ACH-000646,0.8402997704358831,-0.4165387884084731,Ovary/Fallopian Tube
ACH-000040,0.8468750215785247,-0.2635372985262598,CNS/Brain
